PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-12-10,-1.84, -0.36, -3.03, 1.97, 2.14, 8.58, repro,
2001-12-11,-3.38, -0.47, -0.54, 1.9, 1.99, 8.13, repro,
2001-12-12,-3.70, 0.92, -7.34, 1.74, 1.84, 7.27, repro,
2001-12-13,-2.07, -1.21, -1.37, 1.66, 1.74, 6.91, repro,
2001-12-14,-2.02, -0.19, -2.90, 1.63, 1.77, 6.82, repro,
2001-12-15,-3.98, 2.27, 1.45, 1.8, 1.88, 7.72, repro,
2001-12-16,-2.63, 1.09, -7.02, 1.73, 1.81, 7.28, repro,
2001-12-17,-3.02, -1.01, -2.17, 1.64, 1.72, 7, repro,
2001-12-18,-3.28, -0.26, 2.01, 2.12, 2.14, 9.26, repro,
2001-12-19,-4.44, 0.71, -4.09, 1.63, 1.75, 6.93, repro,
2001-12-20,-5.75, 2.52, -9.12, 1.63, 1.77, 6.96, repro,
2001-12-21,-4.53, 0.56, -8.04, 1.53, 1.59, 6.38, repro,
2001-12-22,-2.78, 0.86, -8.01, 1.62, 1.65, 6.98, repro,
2001-12-23,-3.71, 0.00, -13.75, 2.68, 2.67, 12.18, repro,
2001-12-24,-3.22, 1.09, -2.63, 1.86, 1.93, 8.19, repro,
2001-12-25,-5.33, 0.60, 0.95, 1.82, 1.95, 7.74, repro,
2001-12-26,-4.69, 1.88, -4.36, 1.63, 1.71, 7.12, repro,
2001-12-27,-5.11, 2.05, -2.44, 1.61, 1.71, 6.84, repro,
2001-12-28,-2.66, 1.64, -9.29, 1.64, 1.73, 6.87, repro,
2001-12-29,-2.56, 0.74, -9.72, 2.1, 2.28, 9.11, repro,
2001-12-30,-3.87, 1.03, -9.81, 1.79, 1.94, 7.74, repro,
2001-12-31,-4.42, 0.61, -1.97, 2.03, 2.28, 8.6, repro,
2002-01-01,-2.69, 1.39, 4.68, 1.79, 2.01, 7, repro,
2002-01-02,-7.93, -3.12, -2.26, 2.44, 2.55, 10.48, repro,
2002-01-03,-6.71, 5.10, 0.90, 1.82, 1.96, 7.15, repro,
2002-01-04,-5.58, 4.31, 2.83, 1.82, 2.01, 7.02, repro,
2002-01-05,-5.19, 3.05, -1.01, 1.71, 1.93, 6.6, repro,
2002-01-06,-3.76, 2.57, 0.69, 2.1, 2.24, 8.77, repro,
2002-01-07,-3.78, 2.14, -2.46, 1.9, 2.03, 7.59, repro,
