PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2004-01-30,-6.42, 7.13, -9.87, 1.89, 2.06, 8.19, repro,
2004-01-31,-4.94, 6.77, -5.88, 1.52, 1.7, 6.53, repro,
2004-02-01,-1.74, 2.50, -12.95, 1.88, 2.11, 8.24, repro,
2004-02-02,-3.72, 4.50, -5.83, 1.57, 1.77, 6.68, repro,
2004-02-03,-1.83, 3.87, -13.89, 1.58, 1.73, 7, repro,
2004-02-04,-1.93, 3.94, -7.18, 1.58, 1.74, 6.95, repro,
2004-02-05,0.05, 3.23, -13.88, 1.56, 1.72, 6.87, repro,
2004-02-06,-0.29, 2.72, -12.64, 1.62, 1.87, 7.07, repro,
2004-02-07,-3.76, 6.25, -4.54, 1.79, 1.96, 7.92, repro,
2004-02-08,-3.09, 5.05, -11.62, 1.5, 1.64, 6.55, repro,
2004-02-09,0.08, 3.78, -10.70, 1.52, 1.68, 6.68, repro,
2004-02-10,-1.05, 3.65, -6.64, 1.68, 1.85, 7.36, repro,
2004-02-11,-0.80, 4.28, -6.47, 1.57, 1.74, 6.91, repro,
2004-02-12,-2.24, 5.66, -2.60, 1.55, 1.8, 6.68, repro,
2004-02-13,-1.70, 4.62, -4.60, 1.57, 1.76, 6.91, repro,
2004-02-14,-2.50, 4.39, -0.90, 1.7, 1.92, 7.43, repro,
2004-02-15,-1.17, 4.76, -8.49, 1.69, 1.86, 7.47, repro,
2004-02-16,-0.91, 5.09, -9.76, 1.56, 1.73, 6.84, repro,
2004-02-17,-2.32, 4.22, -12.98, 1.44, 1.53, 6.45, repro,
2004-02-18,-2.71, 6.25, -10.03, 1.46, 1.59, 6.37, repro,
2004-02-19,-2.19, 5.67, -3.76, 1.47, 1.59, 6.4, repro,
2004-02-20,-3.23, 4.67, -1.84, 1.46, 1.58, 6.25, repro,
2004-02-21,-2.66, 4.83, 0.55, 1.56, 1.69, 6.75, repro,
2004-02-22,-1.99, 5.61, -4.65, 1.25, 1.29, 5.43, repro,
2004-02-23,-1.88, 4.52, -0.19, 1.26, 1.33, 5.61, repro,
2004-02-24,-3.07, 3.91, -1.12, 1.89, 2.09, 8.36, repro,
2004-02-25,-2.18, 4.38, -7.07, 2.04, 2.14, 9.15, repro,
2004-02-26,-0.58, 3.32, -10.36, 1.76, 1.91, 7.81, repro,
2004-02-27,-2.92, 5.90, -5.02, 1.54, 1.66, 6.65, repro,
2004-02-28,-4.00, 6.81, -3.19, 1.48, 1.6, 6.42, repro,
2004-02-29,-2.82, 5.23, -6.37, 1.59, 1.71, 6.95, repro,
2004-03-01,-1.24, 4.39, -1.38, 1.54, 1.66, 6.7, repro,
2004-03-02,-1.53, 4.41, -7.91, 1.58, 1.71, 6.88, repro,
2004-03-03,-1.29, 4.77, -2.57, 1.57, 1.69, 6.89, repro,
2004-03-04,-0.13, 3.79, -2.14, 1.61, 1.79, 7.03, repro,
2004-03-05,-0.54, 5.24, 1.65, 1.57, 1.69, 6.84, repro,
2004-03-06,-0.18, 3.89, -4.19, 1.58, 1.69, 6.86, repro,
2004-03-07,-2.46, 6.37, -4.75, 1.69, 1.8, 7.36, repro,
2004-03-08,-2.43, 7.65, -1.38, 1.59, 1.71, 6.86, repro,
2004-03-09,-3.90, 7.17, -2.16, 1.56, 1.7, 6.86, repro,
2004-03-10,-5.03, 6.85, -7.28, 1.64, 1.76, 7.23, repro,
2004-03-11,-3.95, 7.00, -7.02, 1.48, 1.61, 6.39, repro,
2004-03-12,-3.42, 6.46, -10.85, 1.49, 1.61, 6.47, repro,
2004-03-13,-3.18, 6.66, -8.76, 1.53, 1.7, 6.61, repro,
2004-03-14,-1.65, 4.67, -13.35, 1.57, 1.71, 6.81, repro,
2004-03-15,-2.59, 3.88, -5.81, 1.83, 1.96, 8.15, repro,
2004-03-16,-3.50, 4.85, -7.80, 2.05, 2.24, 9.11, repro,
2004-03-17,-3.21, 8.32, -4.13, 1.68, 1.93, 7.41, repro,
2004-03-18,-1.67, 4.80, -6.73, 1.73, 1.97, 7.46, repro,
2004-03-19,-1.47, 5.09, -10.33, 1.61, 1.73, 6.97, repro,
2004-03-20,-2.98, 5.56, -11.66, 1.62, 1.77, 7.07, repro,
2004-03-21,-2.24, 5.59, -7.99, 1.61, 1.77, 6.91, repro,
2004-03-22,-2.69, 5.70, -11.06, 1.65, 1.78, 7.1, repro,
2004-03-23,-3.56, 5.39, -13.26, 1.62, 1.82, 6.91, repro,
2004-03-24,-1.94, 3.83, -9.42, 1.53, 1.64, 6.53, repro,
2004-03-25,-1.97, 3.79, -7.54, 1.65, 1.78, 7.1, repro,
2004-03-26,-2.01, 3.67, -6.16, 1.65, 1.79, 7.22, repro,
2004-03-27,-1.58, 5.69, -8.17, 1.65, 1.83, 7.2, repro,
2004-03-28,-2.07, 5.88, -9.79, 1.57, 1.74, 6.73, repro,
2004-03-29,-2.61, 5.39, -14.24, 1.76, 1.83, 7.56, repro,
2004-03-30,-2.01, 6.19, -5.41, 1.51, 1.64, 6.49, repro,
2004-03-31,-1.31, 6.67, -4.70, 1.84, 1.99, 8.08, repro,
2004-04-01,-3.97, 7.83, -10.44, 1.63, 1.74, 7.09, repro,
2004-04-02,-4.14, 8.89, -2.32, 1.61, 1.71, 6.96, repro,
2004-04-03,-4.65, 7.93, -4.49, 1.58, 1.7, 6.8, repro,
2004-04-04,-3.42, 8.96, 2.08, 1.65, 1.76, 7.25, repro,
2004-04-05,-4.42, 7.74, -4.14, 1.62, 1.76, 6.96, repro,
2004-04-06,-4.00, 7.84, -6.47, 1.62, 1.88, 7.05, repro,
2004-04-07,-3.35, 6.29, -3.95, 1.67, 1.84, 7.39, repro,
2004-04-08,-4.55, 5.43, -2.96, 1.69, 1.82, 7.45, repro,
2004-04-09,-1.76, 5.90, -5.34, 1.71, 1.86, 7.57, repro,
2004-04-10,-2.40, 7.96, 2.53, 1.63, 1.84, 7.18, repro,
2004-04-11,-2.75, 4.93, -2.23, 1.75, 1.86, 7.72, repro,
2004-04-12,-3.96, 5.34, -1.97, 2, 2.1, 8.95, repro,
2004-04-13,-4.18, 5.72, -10.52, 2.04, 2.19, 9.06, repro,
2004-04-14,-7.07, 9.66, 4.62, 1.67, 1.8, 7.35, repro,
2004-04-15,-6.91, 7.47, -1.21, 1.5, 1.66, 6.55, repro,
2004-04-16,-6.40, 7.45, -7.54, 1.44, 1.55, 6.27, repro,
2004-04-17,-3.84, 6.30, -10.21, 1.5, 1.6, 6.55, repro,
2004-04-18,-3.59, 5.73, -12.83, 1.53, 1.63, 6.7, repro,
2004-04-19,-3.72, 7.15, -6.45, 1.5, 1.59, 6.62, repro,
2004-04-20,-3.24, 5.00, -1.93, 1.54, 1.63, 6.72, repro,
2004-04-21,-3.36, 4.71, 3.74, 1.58, 1.68, 6.98, repro,
2004-04-22,-3.93, 6.70, -6.95, 1.63, 1.73, 7.2, repro,
2004-04-23,-2.85, 6.09, -5.10, 1.6, 1.73, 7.06, repro,
2004-04-24,-2.97, 5.54, -2.23, 1.63, 1.89, 7.02, repro,
2004-04-25,-2.93, 6.02, -2.94, 1.68, 1.84, 7.38, repro,
2004-04-26,-2.69, 6.44, 0.91, 1.73, 1.88, 7.62, repro,
2004-04-27,-3.20, 4.68, -2.60, 1.84, 1.99, 8.07, repro,
2004-04-28,-2.76, 6.05, -1.70, 1.53, 1.62, 6.7, repro,
2004-04-29,-2.22, 4.24, -3.66, 1.72, 1.85, 7.64, repro,
2004-04-30,-3.13, 3.94, -5.84, 1.69, 1.77, 7.36, repro,
2004-05-01,-4.52, 5.33, -1.98, 1.72, 1.8, 7.56, repro,
2004-05-02,-5.34, 6.70, -3.40, 2.07, 2.17, 9.3, repro,
2004-05-03,-2.43, 5.18, 0.14, 1.92, 2.09, 8.68, repro,
2004-05-04,-2.81, 5.21, 2.34, 1.88, 1.93, 8.24, repro,
2004-05-05,-4.14, 5.93, 0.79, 1.58, 1.65, 6.84, repro,
2004-05-06,-3.36, 4.77, -2.57, 1.53, 1.59, 6.55, repro,
2004-05-07,-3.47, 3.90, -7.33, 1.66, 1.72, 7.14, repro,
2004-05-08,-4.67, 2.57, -3.87, 1.76, 1.81, 7.71, repro,
2004-05-09,-4.19, 4.42, -1.51, 1.71, 1.79, 7.43, repro,
2004-05-10,-3.11, 3.10, -2.06, 1.7, 1.8, 7.45, repro,
2004-05-11,-1.54, 5.16, -2.53, 1.69, 1.8, 7.28, repro,
2004-05-12,-2.13, 3.13, -8.32, 1.96, 2.04, 8.72, repro,
2004-05-13,-3.24, 3.98, -6.94, 1.76, 1.81, 7.64, repro,
2004-05-14,-3.98, 4.85, 5.04, 1.72, 1.8, 7.57, repro,
2004-05-15,-1.98, 4.02, -10.84, 1.75, 1.84, 7.77, repro,
2004-05-16,-4.07, 7.28, 1.50, 2.01, 2.13, 9.02, repro,
2004-05-17,-2.67, 5.07, -13.24, 1.97, 2.02, 8.58, repro,
2004-05-18,-1.76, 5.12, -1.68, 1.61, 1.7, 6.98, repro,
2004-05-19,-3.34, 6.03, -2.40, 1.77, 1.95, 7.84, repro,
2004-05-20,-3.25, 5.22, -4.39, 1.85, 1.95, 8.08, repro,
2004-05-21,-2.43, 5.26, -1.90, 1.76, 1.78, 7.73, repro,
2004-05-22,-3.11, 4.64, 3.56, 1.65, 1.74, 7.26, repro,
2004-05-23,-3.47, 2.41, 3.30, 1.68, 1.76, 7.34, repro,
2004-05-24,-3.76, 3.52, -1.92, 1.76, 1.85, 7.67, repro,
2004-05-25,-3.84, 5.77, 3.67, 1.73, 1.86, 7.56, repro,
2004-05-26,-2.03, 0.58, 6.81, 2, 2.24, 8.72, repro,
2004-05-27,-3.69, 4.36, 6.26, 1.72, 1.75, 7.44, repro,
2004-05-28,-4.80, 4.59, 1.34, 1.81, 1.89, 7.87, repro,
2004-05-29,-3.55, 5.14, 0.39, 1.61, 1.67, 7.02, repro,
2004-05-30,-2.95, 5.76, 2.68, 1.7, 1.77, 7.38, repro,
2004-05-31,-3.68, 4.69, 3.38, 1.55, 1.63, 6.71, repro,
2004-06-01,-3.92, 4.79, 1.18, 1.65, 1.74, 7.13, repro,
2004-06-02,-4.44, 2.56, 2.81, 1.84, 1.95, 8.12, repro,
2004-06-03,-3.99, 3.78, -4.11, 2.03, 2.14, 9.1, repro,
2004-06-04,-4.90, 3.82, 7.44, 1.97, 2.21, 8.81, repro,
2004-06-05,-5.98, 6.30, -3.22, 2.23, 2.39, 9.8, repro,
2004-06-06,-5.58, 8.66, 21.69, 3.93, 4.2, 15.72, repro,
2004-06-07,-6.01, 3.47, -0.67, 1.81, 1.9, 8.04, repro,
2004-06-08,-1.98, 3.87, -3.10, 2.29, 2.46, 10.35, repro,
2004-06-09,-5.61, 2.41, 2.12, 1.83, 1.95, 8.25, repro,
2004-06-10,-4.72, 4.03, 1.21, 1.94, 2.04, 8.6, repro,
2004-06-11,0.46, 2.53, 11.22, 2.37, 2.69, 10.68, repro,
2004-06-12,-3.57, 7.01, -6.74, 1.96, 2.04, 8.91, repro,
2004-06-13,-3.54, 3.71, 5.25, 1.91, 2.04, 8.58, repro,
2004-06-14,-3.13, 4.65, 2.84, 1.97, 1.97, 8.71, repro,
2004-06-15,-4.08, 1.76, -3.42, 1.84, 1.95, 8.43, repro,
2004-06-16,-4.27, 6.61, -7.13, 1.77, 1.87, 7.99, repro,
2004-06-17,-3.94, 5.25, -4.33, 1.82, 1.9, 8.15, repro,
2004-06-18,-3.06, 7.19, 3.69, 1.79, 1.88, 8.11, repro,
2004-06-19,-2.62, 4.39, -4.61, 1.98, 2.05, 9.01, repro,
2004-06-20,-1.78, 6.32, 5.93, 2.29, 2.41, 10.61, repro,
2004-06-21,-1.54, 8.57, 20.82, 1.91, 2.02, 8.51, repro,
2004-06-22,-1.96, 3.86, 0.53, 1.96, 2.04, 8.88, repro,
2004-06-23,-3.13, 4.81, -1.26, 1.84, 1.93, 8.29, repro,
2004-06-24,-5.45, 5.93, 5.39, 2.15, 2.2, 9.65, repro,
2004-06-25,-3.84, 4.36, 7.28, 1.9, 2.04, 8.39, repro,
2004-06-26,-3.79, 4.86, -7.27, 1.95, 2.04, 8.71, repro,
2004-06-27,-2.30, 0.79, -15.42, 2.13, 2.19, 9.57, repro,
2004-06-28,-3.10, 5.49, 0.98, 1.76, 1.85, 7.84, repro,
2004-06-29,-4.66, 4.53, 0.78, 2.01, 2.1, 9.04, repro,
2004-06-30,-2.02, 5.29, -2.98, 2, 2.04, 8.94, repro,
2004-07-01,-3.84, 5.56, -8.44, 1.92, 2.03, 8.5, repro,
2004-07-02,-2.01, 3.65, -11.52, 1.94, 2.15, 8.61, repro,
2004-07-03,-2.03, 5.21, -3.24, 1.81, 1.92, 8.07, repro,
2004-07-04,-3.51, 3.27, 10.50, 1.81, 1.96, 8.06, repro,
2004-07-05,-1.29, 2.86, 2.44, 3.25, 3.54, 12.27, repro,
2004-07-06,-1.67, 4.08, 3.02, 1.77, 1.93, 7.73, repro,
2004-07-07,-1.23, 4.11, -2.94, 2, 2.23, 9.2, repro,
2004-07-08,-1.87, 5.95, -7.62, 1.71, 1.81, 7.72, repro,
2004-07-09,-3.17, 0.80, 1.46, 1.99, 2.07, 8.92, repro,
2004-07-10,-5.07, 0.97, -1.58, 1.86, 1.96, 8.17, repro,
2004-07-11,-3.93, 0.97, 6.69, 1.99, 2.11, 9.01, repro,
2004-07-12,-2.31, 3.71, 5.36, 1.79, 1.83, 7.81, repro,
2004-07-13,-3.64, 4.76, -7.97, 2.04, 2.04, 9.09, repro,
2004-07-14,-4.07, 5.83, 0.98, 1.82, 1.94, 8.08, repro,
2004-07-15,-4.41, 8.07, 1.88, 2.09, 2.2, 9.33, repro,
2004-07-16,-3.94, 2.39, 15.92, 2.35, 2.34, 10.29, repro,
2004-07-17,-4.71, 8.18, 17.05, 2.29, 2.29, 10.09, repro,
2004-07-18,-5.05, 8.15, -8.31, 2.38, 2.32, 10.7, repro,
2004-07-19,-2.42, 7.92, 19.45, 2.37, 2.33, 10.56, repro,
2004-07-20,-2.12, 3.52, -6.28, 2.18, 2.22, 9.75, repro,
2004-07-21,-3.33, 4.63, -8.41, 1.99, 2.14, 9.01, repro,
2004-07-22,-4.50, 4.38, 4.33, 1.85, 1.94, 8.14, repro,
2004-07-23,-6.38, 3.17, -9.33, 2, 2.09, 8.8, repro,
2004-07-24,-7.64, 4.34, 1.67, 2.14, 2.25, 9.66, repro,
2004-07-25,-5.08, 6.13, -5.53, 1.98, 1.99, 8.68, repro,
2004-07-26,-6.77, 1.36, -16.34, 2.32, 2.2, 9.93, repro,
2004-07-27,-3.64, 4.63, -0.32, 1.97, 1.99, 8.45, repro,
2004-07-28,-4.04, 2.72, -9.69, 1.96, 2.09, 8.8, repro,
2004-07-29,-3.27, 3.28, -6.75, 1.96, 2.05, 8.69, repro,
2004-07-30,-1.62, 2.82, -4.41, 1.93, 1.95, 8.63, repro,
2004-07-31,-3.15, 3.00, 4.00, 1.94, 2.04, 8.78, repro,
2004-08-01,-5.22, 3.87, -2.94, 2.18, 2.21, 9.77, repro,
2004-08-02,-2.30, 4.55, 12.06, 2.13, 2.2, 9.44, repro,
2004-08-03,-2.48, 3.83, -3.27, 2, 2.08, 8.92, repro,
2004-08-04,-2.99, 1.69, -3.17, 2.13, 2.28, 9.46, repro,
2004-08-05,-4.20, 2.05, 5.94, 2.4, 2.38, 10.76, repro,
2004-08-06,-3.80, 3.77, -11.43, 2.55, 2.66, 11.46, repro,
2004-08-07,-3.68, 0.27, 3.80, 2.23, 2.31, 10.13, repro,
2004-08-08,-0.40, 5.58, -1.92, 1.92, 1.97, 8.52, repro,
2004-08-09,-2.36, 4.92, -9.81, 1.98, 2.04, 8.83, repro,
2004-08-10,-3.59, 3.72, 4.27, 1.91, 1.99, 8.45, repro,
2004-08-11,-2.35, 4.14, -13.37, 1.82, 1.9, 8.15, repro,
2004-08-12,-1.45, 2.30, -14.33, 1.92, 1.97, 8.52, repro,
2004-08-13,-3.53, 5.18, -11.43, 2.4, 2.32, 10.8, repro,
2004-08-14,-8.24, 2.64, -13.32, 2.34, 2.38, 10.41, repro,
2004-08-15,-1.17, 4.33, -16.32, 1.92, 2.01, 8.65, repro,
2004-08-16,-1.31, 3.63, 1.05, 1.84, 1.99, 8.01, repro,
2004-08-17,-0.64, 3.44, 7.75, 1.89, 1.95, 8.29, repro,
2004-08-18,-0.73, 2.31, -1.19, 2.03, 2.11, 9.02, repro,
2004-08-19,-0.32, 3.23, -5.44, 1.76, 1.8, 7.7, repro,
2004-08-20,-2.34, 3.01, 2.49, 1.84, 1.86, 8.07, repro,
2004-08-21,-1.71, 5.30, -8.20, 1.87, 1.93, 8.31, repro,
2004-08-22,-1.21, 1.63, -4.90, 1.77, 1.82, 7.84, repro,
2004-08-23,-0.43, 3.05, -8.57, 2.17, 2.18, 9.7, repro,
2004-08-24,-2.87, 3.56, -5.39, 1.99, 2.06, 8.79, repro,
2004-08-25,-2.02, 4.34, 2.24, 1.89, 1.87, 8.25, repro,
2004-08-26,-1.47, 2.07, -5.55, 1.99, 1.98, 8.78, repro,
2004-08-27,-3.79, 2.98, -7.99, 1.87, 1.93, 8.44, repro,
2004-08-28,-3.37, 6.51, -1.39, 1.92, 1.93, 8.45, repro,
2004-08-29,-4.44, 4.74, 4.08, 2.1, 2.18, 9.27, repro,
2004-08-30,-6.44, 7.19, -4.02, 1.94, 1.99, 8.62, repro,
2004-08-31,-2.61, 1.87, -0.63, 1.89, 1.93, 8.42, repro,
2004-09-01,-1.91, 4.53, -2.00, 2.31, 2.2, 9.96, repro,
2004-09-02,0.12, 3.43, -3.02, 1.98, 2.02, 8.82, repro,
2004-09-03,-2.11, 3.00, -4.17, 1.77, 1.79, 7.66, repro,
2004-09-04,-3.81, 3.19, -1.29, 1.99, 2.03, 8.86, repro,
2004-09-05,-9.52, 6.84, 5.81, 2.1, 2.07, 9.37, repro,
2004-09-06,-5.48, 7.80, 9.10, 3.05, 2.83, 12.62, repro,
2004-09-07,1.02, 1.89, -10.56, 2.15, 2.29, 9.53, repro,
2004-09-08,-1.12, 5.06, -5.58, 1.88, 1.89, 8.3, repro,
2004-09-09,1.04, 5.95, -1.00, 1.95, 2, 8.61, repro,
2004-09-10,3.43, 4.95, 0.56, 2.01, 2.05, 9.1, repro,
2004-09-11,2.25, 2.71, -6.71, 1.84, 1.87, 8.14, repro,
2004-09-12,-0.45, 3.00, -8.18, 2.11, 2.12, 9.44, repro,
2004-09-13,2.20, 2.38, -0.83, 1.8, 1.86, 8.03, repro,
2004-09-14,1.80, 2.48, 1.93, 1.65, 1.68, 7.29, repro,
2004-09-15,0.68, 2.41, 5.30, 1.8, 1.82, 7.94, repro,
2004-09-16,1.82, 1.02, 3.58, 2.23, 2.3, 10.37, repro,
2004-09-17,1.32, 4.02, -3.15, 1.98, 2.08, 9.03, repro,
2004-09-18,1.09, 3.64, -4.74, 1.77, 1.79, 7.88, repro,
2004-09-19,0.23, 3.26, -5.33, 1.73, 1.77, 7.58, repro,
2004-09-20,-0.10, 1.99, -7.71, 2.1, 2.1, 9.37, repro,
2004-09-21,0.52, 2.86, -13.53, 2.02, 2.07, 9.18, repro,
2004-09-22,-0.29, 3.57, -5.36, 1.83, 1.83, 8.05, repro,
2004-09-23,0.01, 4.52, -8.98, 1.87, 1.88, 8.25, repro,
2004-09-24,0.05, 4.36, -5.71, 1.83, 1.83, 8.08, repro,
2004-09-25,-1.23, 4.32, -4.90, 1.85, 1.85, 8.15, repro,
2004-09-26,-11.84, 11.45, 11.20, 2.19, 2.15, 9.97, repro,
2004-09-27,-3.02, 8.49, -3.58, 2.1, 2.13, 9.09, repro,
2004-09-28,-4.42, 8.16, -11.63, 2.75, 2.72, 10.38, repro,
2004-09-29,-3.07, 6.08, -9.91, 1.54, 1.49, 6.33, repro,
2004-09-30,-3.71, 7.33, -3.09, 1.46, 1.43, 6.01, repro,
2004-10-01,-5.14, 5.55, -8.62, 1.87, 1.85, 7.7, repro,
2004-10-02,-1.79, 7.21, -0.23, 1.71, 1.72, 7.26, repro,
2004-10-03,-3.91, 8.13, -9.36, 1.66, 1.64, 7.01, repro,
2004-10-04,-3.81, 6.25, -17.30, 1.89, 1.9, 8.5, repro,
2004-10-05,-2.43, 6.94, -10.85, 2.28, 2.3, 10.23, repro,
2004-10-06,-0.54, 6.28, -5.54, 1.79, 1.82, 7.91, repro,
2004-10-07,-2.63, 7.05, -9.86, 1.65, 1.66, 7.05, repro,
2004-10-08,-2.82, 5.84, -10.58, 1.78, 1.76, 7.67, repro,
2004-10-09,-3.55, 5.14, -12.22, 1.91, 1.89, 8.39, repro,
2004-10-10,-3.50, 5.42, -11.82, 1.5, 1.52, 6.51, repro,
2004-10-11,-3.20, 7.66, -8.77, 1.87, 1.89, 8.3, repro,
2004-10-12,-3.35, 6.61, 1.18, 1.84, 1.95, 8.2, repro,
2004-10-13,-3.81, 6.89, -2.98, 1.76, 1.83, 7.59, repro,
2004-10-14,-3.04, 6.31, 7.71, 1.6, 1.66, 7.05, repro,
2004-10-15,-6.19, 7.37, 1.88, 1.9, 1.92, 8.57, repro,
2004-10-16,-3.29, 7.33, -0.42, 1.27, 1.43, 5.62, repro,
2004-10-17,-3.62, 7.44, -5.04, 1.29, 1.32, 5.41, repro,
2004-10-18,-3.43, 7.82, -6.26, 1.69, 1.69, 7.15, repro,
2004-10-19,-3.60, 7.88, -9.28, 1.7, 1.83, 7.57, repro,
2004-10-20,-5.08, 8.97, -3.41, 1.81, 1.9, 8, repro,
2004-10-21,-4.23, 5.00, -2.63, 1.99, 2.06, 8.68, repro,
2004-10-22,-4.99, 6.24, -0.70, 1.71, 1.78, 7.49, repro,
2004-10-23,-4.77, 7.60, -7.37, 1.61, 1.71, 6.99, repro,
2004-10-24,-3.33, 6.67, -3.81, 1.68, 1.77, 7.32, repro,
2004-10-25,-3.90, 6.51, -8.65, 1.87, 1.9, 8.22, repro,
2004-10-26,-5.22, 5.92, -6.34, 1.69, 1.75, 7.19, repro,
2004-10-27,-5.53, 6.15, -15.89, 1.71, 1.77, 7.32, repro,
2004-10-28,-4.45, 6.66, -5.47, 1.58, 1.63, 6.73, repro,
2004-10-29,-4.10, 6.60, -7.33, 1.59, 1.65, 6.77, repro,
2004-10-30,-2.90, 7.33, 0.35, 1.37, 1.45, 5.88, repro,
2004-10-31,-4.09, 7.72, -7.33, 1.64, 1.71, 7.07, repro,
2004-11-01,-4.80, 5.63, -6.24, 1.65, 1.69, 7.07, repro,
2004-11-02,-4.10, 6.66, -7.89, 1.62, 1.7, 7.09, repro,
2004-11-03,-5.05, 6.22, -8.56, 1.61, 1.66, 6.95, repro,
2004-11-04,-4.81, 6.39, -3.74, 1.65, 1.71, 7.27, repro,
2004-11-05,-4.92, 7.40, 1.75, 1.97, 2.04, 9.03, repro,
2004-11-06,-6.33, 9.22, -6.18, 1.55, 1.6, 6.67, repro,
2004-11-07,-6.74, 9.22, -3.59, 1.58, 1.63, 6.78, repro,
2004-11-08,-4.82, 8.60, -8.66, 1.6, 1.66, 6.84, repro,
2004-11-09,-5.67, 7.38, -4.45, 1.71, 1.82, 7.52, repro,
2004-11-10,-4.88, 7.55, -8.80, 1.58, 1.65, 6.98, repro,
2004-11-11,-3.57, 7.00, -8.24, 1.62, 1.69, 7.12, repro,
2004-11-12,-3.38, 5.18, -10.45, 1.73, 1.78, 7.73, repro,
2004-11-13,-6.79, 8.88, -6.16, 1.96, 2.01, 8.95, repro,
2004-11-14,-6.12, 5.05, -18.33, 1.66, 1.71, 7.28, repro,
2004-11-15,-3.95, 5.20, -17.68, 1.71, 1.73, 7.31, repro,
2004-11-16,-4.48, 6.64, -13.93, 1.73, 1.74, 7.43, repro,
2004-11-17,-3.54, 6.06, -14.68, 1.61, 1.63, 6.84, repro,
2004-11-18,-2.80, 5.94, -7.73, 1.74, 1.83, 7.46, repro,
2004-11-19,-2.70, 5.22, -7.10, 1.68, 1.74, 7.28, repro,
2004-11-20,-3.40, 5.73, -14.77, 1.6, 1.62, 6.82, repro,
2004-11-21,-3.19, 6.04, -12.86, 1.63, 1.69, 7.05, repro,
2004-11-22,-3.73, 5.42, -14.50, 1.66, 1.66, 7.11, repro,
2004-11-23,-3.71, 6.05, -4.02, 1.31, 1.38, 5.72, repro,
2004-11-24,-3.59, 4.34, -2.79, 1.48, 1.55, 6.59, repro,
2004-11-25,-4.76, 8.91, -11.68, 1.83, 1.81, 8.13, repro,
2004-11-26,-5.52, 7.09, -5.68, 1.54, 1.54, 6.61, repro,
2004-11-27,-4.64, 5.36, -10.59, 1.69, 1.71, 7.51, repro,
2004-11-28,-1.82, 5.06, -7.36, 1.5, 1.53, 6.6, repro,
2004-11-29,-3.58, 4.59, -6.27, 1.58, 1.58, 6.85, repro,
2004-11-30,-2.69, 5.73, -7.03, 1.51, 1.51, 6.54, repro,
2004-12-01,-3.07, 6.25, -10.66, 1.59, 1.64, 7, repro,
2004-12-02,-4.93, 6.65, -15.08, 1.61, 1.64, 7.27, repro,
2004-12-03,-3.26, 5.48, -18.32, 1.68, 1.71, 7.64, repro,
2004-12-04,-4.28, 5.17, -8.40, 1.72, 1.8, 7.76, repro,
2004-12-05,-3.48, 5.72, -3.54, 1.51, 1.57, 6.84, repro,
2004-12-06,-3.43, 5.07, -15.57, 1.54, 1.6, 6.73, repro,
2004-12-07,-2.47, 4.95, -8.14, 1.41, 1.49, 6.04, repro,
2004-12-08,-3.17, 6.09, -7.74, 1.69, 1.8, 7.66, repro,
2004-12-09,-2.94, 5.82, -12.82, 1.7, 1.73, 7.49, repro,
2004-12-10,-5.62, 7.47, -0.29, 2.06, 2.08, 8.84, repro,
2004-12-11,-4.44, 7.43, -4.54, 1.95, 1.97, 8.38, repro,
2004-12-12,-4.21, 8.59, -8.74, 1.62, 1.63, 7.04, repro,
2004-12-13,-5.28, 8.60, -10.50, 1.54, 1.6, 6.84, repro,
2004-12-14,-5.82, 7.64, -17.35, 1.67, 1.73, 7.39, repro,
2004-12-15,-4.99, 7.03, -20.91, 1.43, 1.48, 6.23, repro,
2004-12-16,-4.33, 7.05, -22.17, 1.38, 1.45, 6.13, repro,
2004-12-17,-5.86, 7.68, -16.32, 1.2, 1.24, 5.29, repro,
2004-12-18,-3.80, 6.36, -16.75, 1.65, 1.71, 7.24, repro,
2004-12-19,-3.00, 7.53, -18.26, 1.74, 1.77, 7.7, repro,
2004-12-20,-5.56, 7.61, -13.65, 1.56, 1.55, 6.56, repro,
2004-12-21,-3.45, 6.28, -16.08, 1.5, 1.56, 6.4, repro,
2004-12-22,-3.24, 5.73, -23.27, 1.69, 1.72, 7.24, repro,
2004-12-23,-4.81, 5.30, -16.01, 1.82, 1.88, 8.11, repro,
2004-12-24,-3.67, 6.59, -25.31, 1.9, 1.97, 8.24, repro,
2004-12-25,-4.10, 6.52, -10.17, 1.8, 1.84, 7.94, repro,
2004-12-26,-8.86, 10.01, -20.25, 1.93, 2.01, 8.63, repro,
2004-12-27,-6.21, 8.11, -18.68, 1.55, 1.63, 6.66, repro,
2004-12-28,-4.55, 7.81, -15.10, 1.57, 1.66, 6.84, repro,
2004-12-29,-4.58, 7.38, -18.94, 1.47, 1.57, 6.43, repro,
